Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Zahnow Library/ Saginaw Valley State Univ,"Saginaw Valley State Univ,7400 Bay Rd,University Ctr US-MI 48710-0001 US",43.5139154,-83.9626849,"48710, 7400 Bay Rd, University Center, MI 48604, United States",Match,Google
Youngstown State University,"Youngstown State University MAAG LIBRARY,1 University Plaza,Youngstown US-OH 44555 US",41.1049419,-80.6465791,"1 University Plaza, Youngstown, OH 44555, USA",Match,Google
Yale University,"130 Wall Street,New Haven, CT 06520-8240",38.613277,-91.21458,"130 WALL ST, NEW HAVEN, MO, 63068",Match,US Census
WVU Robert C. Byrd Health Sciences Ctr,3 Evansdale Drive Morgantown WV US-WV 26506-6105 US,39.6476521,-79.9678728,"Evansdale Dr, Morgantown, WV 26505, USA",Partial Match,Google
Worcester Public Library,"Dept.,3 Salem Sq.,Worcester, MA 01608",42.2603989,-71.8003017,"3 Salem St, Worcester, MA 01608, USA",Partial Match,Google
WOODSTOCK PUBLIC LIBRARY DISTRICT ,"Woodstock Public Library District,5 Library LN,Woodstock US-NY 12498 US",42.040909,-74.1223224,"5 Library Ln, Woodstock, NY 12498, USA",Match,Google
Wm. D. McIntyre Library,"UNIV. OF WISCONSIN - EAU CLAIRE,105 GARFIELD AVENUE,EAU CLAIRE US-WI 54702",44.7967459,-91.5034191,"105 Garfield Ave, Eau Claire, WI 54701, USA",Match,Google
Wilson Library / Nyack College Manhattan campus,2 Washington St. 19th Fl. New York US-NY 10004 US,40.7056387,-74.0156958,"2 Washington St, New York, NY 10004, USA",Partial Match,Google
William R. Coe Library / ILL,1000 E. University Ave. Laramie US-WY 82071-3334,41.31376,-105.5843787,"1000 E University Ave, Laramie, WY 82071, USA",Partial Match,Google
WILLIAM MANZ/ST. JOHN'S UNIVERSITY LAW LIBRARY,8000 Utopia Pkwy Jamaica NY 11439,40.724247,-73.7945861,"8000 Utopia Pkwy, Jamaica, NY 11432, USA",Match,Google
WILLIAM K SANFORD TOWN LIBRARY/ILL,"629 ALBANY SHAKER RD,Loudonve NY US-NY 12211-1196 US",42.726162,-73.7918859,"629 Albany Shaker Rd, Albany, NY 12211, USA",Partial Match,Google
William F. Ruska Library,61 Sever St. P.O. Box 15071 Worcester MA 01615-0071,42.2690259,-71.811912,"61 Sever St, Worcester, MA 01609, USA",Partial Match,Google
"Wilkes University, E. S. Farley Library / ILL",187 South Franklin Street Wilkes-Barre PA 18766,41.2440161,-75.8888412,"187 S Franklin St, Wilkes-Barre, PA 18701, USA",Partial Match,Google
WHP-Main Library,20 South Main St W. Hartford CT 06107,41.7606651,-72.7414851,"20 S Main St, West Hartford, CT 06107, USA",Match,Google
Westlake Porter Public Library ILL,"27333 Center Ridge Rd.,Westlake US-OH 44145 US",41.4477264,-81.9246437,"27333 Center Ridge Rd, Westlake, OH 44145, USA",Match,Google
Westhampton Free Library,"7 Library Ave.,Westhampton Beach, NY 11978-2633",40.8093539,-72.6416279,"7 Library Ave, Westhampton Beach, NY 11978, USA",Partial Match,Google
Western New England School of Law Library,"1215 Wilbraham Road,Springfield US-MA 01119 US",42.1134056,-72.5226061,"1215 Wilbraham Rd, Springfield, MA 01119, USA",Match,Google
Westchester Library System / ILL,"570 Taxter Road,Suite 400,Elmsford US-NY 10523 US",41.0578427,-73.8290094,"570 Taxter Rd #400, Elmsford, NY 10523, USA",Match,Google
Westchester Community College Library,75 Grasslands Road Valhalla US-NY 10595 US,41.0684125,-73.789596,"75 Grasslands Rd, Valhalla, NY 10595, USA",Match,Google
Westbury Public Library - ILL,"445 Jefferson Street,Westbury US-NY 11590 US",40.7621992,-73.5832206,"445 Jefferson St, Westbury, NY 11590, USA",Match,Google
WEST POINT POST LIBRARY / ILL,"622 Swift Road,West Point NY 10996-1981",41.3787133,-73.9639903,"622 Swift Rd, West Point, NY 10996, USA",Partial Match,Google
West Chester University/ILL/Green Library,FHG Library 25 W. Rosedale Ave West Chester US-PA 19383 US,39.9518316,-75.5974243,"West Chester University, 25 W Rosedale Ave, West Chester, PA 19382, USA",Match,Google
WERNER HEALTH SCIENCES LIBRARY,1425 Portland Ave Rochester US-NY 14621 US,43.192906,-77.5870219,"1425 Portland Ave, Rochester, NY 14621, USA",Match,Google
Wellesley Free Library -ILL,"330 Homer Street, Dept.,Newton US-MA 02459 US",42.3358737,-71.2078584,"330 Homer St, Newton Centre, MA 02459, USA",Partial Match,Google
Wead Library,"64 Elm Street,Malone, NY 12953-1594,US",44.8512683,-74.2893874,"64 Elm St, Malone, NY 12953, USA",Partial Match,Google
Wayne State University Libraries / Interlibrary Loan,5150 Gullen Mall Adamany Undergraduate Library Detroit MI 48202,42.3564669,-83.0703463,"5150 Anthony Wayne Dr, Detroit, MI 48202, USA",Match,Google
Waltham Public Library,"735 Main Street, Dept.,Waltham US-MA 02451 US",42.3766522,-71.2395325,"735 Main St, Waltham, MA 02451, USA",Partial Match,Google
Wagner College,One Campus Road Staten Island US-NY 10301 US,40.6145939,-74.090871,"1 Campus Rd, Staten Island, NY 10301, USA",Match,Google
Wadsworth Library - ILL,777 Dedham Street Newton US-MA 02459 US,42.2990367,-71.1872229,"777 Dedham St, Newton, MA 02459, USA",Match,Google
VTC -Hartness Library,1 Main St. Randolph Ctr. US-VT 05061-0500 US,43.9406292,-72.6070707,"Main St, Randolph Center, VT 05061, USA",Partial Match,Google
Voorheesville Public Library/ILL,51 School Road Voorheesve US-NY 12186 US,42.6582572,-73.9387739,"51 School Rd, Voorheesville, NY 12186, USA",Partial Match,Google
Viterbo University Library / ILL,900 Viterbo Drive La Crosse US-WI 54601 US,43.802044,-91.245296,"900 Viterbo Dr, La Crosse, WI 54601, USA",Match,Google
"VISUAL ARTS LIBRARY, SCHOOL OF VISUAL ARTS","380 2nd Ave,2nd Fl,New York US-NY 10010 US",40.7369428,-73.9811552,"380 2nd Ave, New York, NY 10010, USA",Partial Match,Google
Village Library of Cooperstown,"22 Main Street,Cooperstown US-NY 13326 US",42.7001,-74.922166,"22 Main St, Cooperstown, NY 13326, USA",Match,Google
Vestal Public Library - ILL,"304 Clubhouse Rd.,Vestal US-NY 13850 US",42.0898866,-75.9498387,"304 Clubhouse Rd, Vestal, NY 13850, USA",Match,Google
Vaughn College of Aeronautics and Technology,86-01 23rd Ave. Flushing N.Y. 11369,40.7679103,-73.8824069,"86-01 23rd Ave, Flushing, NY 11369, USA",Match,Google
VASSAR COLLEGE LIBRARIES/ILL,124 Raymond Ave. Vassar College Libraries Poughkeepsie US-NY 12604 US,41.6860472,-73.8973432,"124 Raymond Ave, Poughkeepsie, NY 12604, USA",Match,Google
VAN NOY LIBRARY,5966 12TH STREET STE 101 FT BELVOIR VA 22060-5554,38.6975992,-77.1413629,"5966 12th St #101, Fort Belvoir, VA 22060, USA",Partial Match,Google
UTC LUPTON LIBRARY / INTERLIBRARY SERVICES,"615 McCallie Ave.,Chattanooga US-TN 37403-2598 US",35.0457741,-85.2997744,"615 McCallie Ave, Chattanooga, TN 37403, USA",Partial Match,Google
"USDA, Forest Service, Rocky Mountain Station",240 W PROSPECT RD FORT COLLINS US-CO 80526 US,40.567556,-105.080223,"240 W Prospect Rd, Fort Collins, CO 80526, USA",Match,Google
US ARMY RDECOM-ARDEC,PHIPPS ROAD PICATINNY ARSENAL NJ 07806-5000,40.937138,-74.57784,"Phipps Rd, Rockaway Township, NJ, USA",Partial Match,Google
Upper Hudson Library System/ILL,"28 Essex Street,Albany, NY 12206-2027",42.6774339,-73.7789144,"28 Essex St, Albany, NY 12206, USA",Partial Match,Google
University of Texas at Tyler,3900 University Blvd Tyler US-TX 75799 US,32.3157449,-95.2542312,"3900 University Blvd, Tyler, TX 75799, USA",Match,Google
University of Texas at El Paso,500 West University Avenue El Paso TX 79968-0582,31.7708544,-106.5046216,"500 W University Ave, El Paso, TX 79902, USA",Partial Match,Google
UNIVERSITY OF ST. FRANCIS LIBRARY,JOLIET IL 60435 600 Taylor St Joliet US-IL 60435 US,41.532206,-88.0960578,"600 Taylor St, Joliet, IL 60435, USA",Partial Match,Google
